model,test_set,selection_metric,budget,acc,acc_hat,failures,rmse,retrain_acc,acc_improvement
lenet4,mnist,lsa,50,0.9679,0.94,3,0.027900000000000036,0.9932663316582915,0.0252261306532664
lenet4,mnist,lsa,100,0.9679,0.95,5,0.017900000000000027,0.9932323232323232,0.025151515151515147
lenet4,mnist,lsa,150,0.9679,0.9466666666666667,8,0.021233333333333326,0.9939086294416244,0.025685279187817267
lenet4,mnist,lsa,200,0.9679,0.955,9,0.012900000000000023,0.9929591836734694,0.02479591836734696
lenet4,mnist,dsa,50,0.9679,0.3,35,0.6678999999999999,0.9943718592964824,0.023115577889447292
lenet4,mnist,dsa,100,0.9679,0.36,64,0.6079,0.9947474747474747,0.020707070707070674
lenet4,mnist,dsa,150,0.9679,0.3466666666666667,98,0.6212333333333333,0.9958375634517767,0.018477157360406116
lenet4,mnist,dsa,200,0.9679,0.415,117,0.5529,0.9965306122448979,0.01734693877551019
lenet4,mnist,std,50,0.9679,0.98,1,0.0121,0.9962814070351759,0.028442211055276334
lenet4,mnist,std,100,0.9679,0.99,1,0.02210000000000001,0.9957575757575757,0.02808080808080804
lenet4,mnist,std,150,0.9679,0.9866666666666667,2,0.01876666666666671,0.9962440361384631,0.028626535377119122
lenet4,mnist,std,200,0.9679,0.975,5,0.007099999999999995,0.9946944189368432,0.026936026936026924
lenet4,mnist,pace,50,0.9679,0.96,2,0.007900000000000018,0.9936683417085427,0.02572864321608037
lenet4,mnist,pace,100,0.9679,0.95,5,0.017900000000000027,0.9939393939393939,0.025858585858585803
lenet4,mnist,pace,150,0.9679,1.0,0,0.03210000000000002,0.9953299492385786,0.027918781725888242
lenet4,mnist,pace,200,0.9679,0.98,4,0.0121,0.9955102040816326,0.027857142857142803
lenet5,mnist,dr,50,0.9868,1.0,0,0.01319999999999999,0.9868341708542714,0.00010050251256288334
lenet5,mnist,dr,100,0.9868,1.0,0,0.01319999999999999,0.9892929292929293,0.002626262626262643
lenet5,mnist,dr,150,0.9868,0.9933333333333333,1,0.00653333333333328,0.9884263959390863,0.0017258883248730816
lenet5,mnist,dr,200,0.9868,0.995,1,0.008199999999999985,0.9897959183673469,0.0031632653061224314
lenet5,mnist,ces,50,0.9868,1.0,0,0.01319999999999999,0.9909547738693467,0.004221105527638214
lenet5,mnist,ces,100,0.9868,1.0,0,0.01319999999999999,0.9876767676767677,0.0010101010101010166
lenet5,mnist,ces,150,0.9868,0.9933333333333333,1,0.00653333333333328,0.9894416243654822,0.0027411167512689794
lenet5,mnist,ces,200,0.9868,1.0,0,0.01319999999999999,0.9896938775510205,0.0031632653061225424
lenet5,mnist,mcp,50,0.9868,0.5,25,0.4868,0.9910552763819096,0.0018090452261306789
lenet5,mnist,mcp,100,0.9868,0.61,39,0.3768,0.9921212121212121,0.0015151515151514694
lenet5,mnist,mcp,150,0.9868,0.62,57,0.3668,0.9926903553299492,0.0003045685279187138
lenet5,mnist,mcp,200,0.9868,0.65,70,0.3368,0.995,0.0013265306122448584
lenet5,mnist,est,50,0.9868,0.78,11,0.20679999999999998,0.9949748743718593,0.007135678391959832
lenet5,mnist,est,100,0.9868,0.65,35,0.3368,0.9959595959595959,0.005757575757575739
lenet5,mnist,est,150,0.9868,0.7133333333333334,43,0.27346666666666664,0.9955329949238578,0.004568527918781706
lenet5,mnist,est,200,0.9868,0.75,50,0.2368,0.9962244897959184,0.004591836734693877
lenet5,mnist,rnd,50,0.9868,1.0,0,0.01319999999999999,0.9966834170854272,0.009949748743718678
lenet5,mnist,rnd,100,0.9868,0.97,3,0.016800000000000037,0.9959595959595959,0.008989898989898992
lenet5,mnist,rnd,150,0.9868,1.0,0,0.01319999999999999,0.9970558375634517,0.010456852791878135
lenet5,mnist,rnd,200,0.9868,0.995,1,0.008199999999999985,0.9957142857142857,0.009081632653061167
lenet5,mnist,ent,50,0.9868,0.56,22,0.42679999999999996,0.995678391959799,0.006733668341708521
lenet5,mnist,ent,100,0.9868,0.56,44,0.42679999999999996,0.9946464646464647,0.0035353535353535026
lenet5,mnist,ent,150,0.9868,0.6,60,0.38680000000000003,0.9958375634517767,0.0031472081218274495
lenet5,mnist,ent,200,0.9868,0.625,75,0.3618,0.9965306122448979,0.0023469387755101767
lenet5,mnist,gini,50,0.9868,0.56,22,0.42679999999999996,0.995678391959799,0.006733668341708521
lenet5,mnist,gini,100,0.9868,0.56,44,0.42679999999999996,0.9960606060606061,0.004949494949494926
lenet5,mnist,gini,150,0.9868,0.5866666666666667,62,0.40013333333333334,0.996751269035533,0.0038578680203046334
lenet5,mnist,gini,200,0.9868,0.615,77,0.3718,0.996734693877551,0.0023469387755101767
lenet5,mnist,dat,50,0.9868,1.0,0,0.01319999999999999,0.9963819095477386,0.00964824120603014
lenet5,mnist,dat,100,0.9868,1.0,0,0.01319999999999999,0.9945454545454545,0.007878787878787818
lenet5,mnist,dat,150,0.9868,0.9933333333333333,1,0.00653333333333328,0.9940101522842639,0.007309644670050686
lenet5,mnist,dat,200,0.9868,0.985,3,0.0018000000000000238,0.9951020408163266,0.008265306122449023
lenet5,mnist,gd,50,0.9868,0.98,1,0.006800000000000028,0.9947738693467336,0.007939698492462233
lenet5,mnist,gd,100,0.9868,0.97,3,0.016800000000000037,0.9951515151515151,0.008181818181818179
lenet5,mnist,gd,150,0.9868,0.9733333333333334,4,0.013466666666666627,0.9947208121827411,0.007715736040609156
lenet5,mnist,gd,200,0.9868,0.985,3,0.0018000000000000238,0.9920408163265306,0.005204081632653068
