Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold
8,0.3028099834918976,0.3426361767563814,0.3227230801241395,37,3,udacity_label,ent,100,epoch,0.175
8,0.34824785590171814,0.2373301454575334,0.29278900067962577,39,4,udacity_label,ent,150,epoch,0.175
8,0.482748806476593,0.5545348317925254,0.5186418191345592,49,7,udacity_label,ent,200,epoch,0.175
3,0.7623512148857117,,,28,1,udacity_label,gini,50,epoch,0.175
8,0.4193372130393982,0.37200591259467863,0.3956715628170384,58,7,udacity_label,gini,100,epoch,0.175
17,0.16570213437080383,0.11301754111970061,0.13935983774525224,83,17,udacity_label,gini,150,epoch,0.175
17,0.4864031970500946,0.35046283537760636,0.4184330162138505,106,7,udacity_label,gini,200,epoch,0.175
5,0.23302415013313293,0.10909176245495869,0.1710579562940458,20,4,udacity_label,gd,50,epoch,0.175
11,0.32803404331207275,0.23157842927734282,0.2798062362947078,35,5,udacity_label,gd,100,epoch,0.175
10,0.3590765595436096,0.42314377576580287,0.39111016765470624,52,6,udacity_label,gd,150,epoch,0.175
