Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold,Config
20,0.3904181718826294,0.2944401402001466,0.342429156041388,122,10,udacity,pace,200,dave2v1,0.087,
6,0.273780882358551,0.12278854607542442,0.19828471421698773,20,2,udacity,dr,50,dave2v1,0.131,
10,0.3362198770046234,0.19851749796399903,0.2673686874843112,44,4,udacity,dr,100,dave2v1,0.131,
9,0.6002127528190613,,,62,1,udacity,dr,150,dave2v1,0.131,
14,0.5045484900474548,0.42912965567471845,0.4668390728610866,85,2,udacity,dr,200,dave2v1,0.131,
7,0.2206360548734665,0.18437730717275977,0.20250668102311314,26,3,udacity,ces,50,dave2v1,0.131,
17,0.2931332588195801,0.15708419451243627,0.22510872666600817,68,6,udacity,ces,100,dave2v1,0.131,
12,0.25096285343170166,,,84,1,udacity,ces,150,dave2v1,0.131,
11,0.079872727394104,0.1749859686650723,0.12742934802958816,119,3,udacity,ces,200,dave2v1,0.131,
6,0.17658080160617828,0.0551012790559554,0.11584104033106685,22,5,udacity,est,50,dave2v1,0.131,
15,0.34776467084884644,0.1763247320576171,0.2620447014532318,63,4,udacity,est,100,dave2v1,0.131,
22,0.3467659652233124,0.2888542003853246,0.3178100828043185,87,8,udacity,est,150,dave2v1,0.131,
25,0.33605462312698364,0.18183588266811754,0.2589452528975506,102,13,udacity,est,200,dave2v1,0.131,
5,0.11479707807302475,0.06868947967936961,0.09174327887619718,19,3,udacity,rnd,50,dave2v1,0.131,
14,0.3186498284339905,0.27314749223510393,0.2958986603345472,43,2,udacity,rnd,100,dave2v1,0.131,
20,0.2467685490846634,0.16005163880113238,0.20341009394289788,75,12,udacity,rnd,150,dave2v1,0.131,
18,0.3074442148208618,0.20494804748363826,0.25619613115225004,88,11,udacity,rnd,200,dave2v1,0.131,
10,0.3363770544528961,0.1736057431114052,0.25499139878215066,34,5,udacity,ent,50,dave2v1,0.131,
14,0.34352821111679077,0.37103362758322633,0.35728091935000855,67,14,udacity,ent,100,dave2v1,0.131,
22,0.4004000127315521,0.2154040199982606,0.30790201636490633,104,11,udacity,ent,150,dave2v1,0.131,
